Solution 1,Solution 2,Cluster 1,Cluster 2,adjusted_rand Similarity
11,14,3,0,1.0
11,14,2,2,1.0
11,14,1,1,0.9621823653617455
11,14,0,3,0.7662510637099966
11,15,3,2,1.0
11,15,1,3,1.0
11,15,2,0,0.9486049670372518
11,15,0,1,0.5195566714016716
11,16,3,2,1.0
11,16,1,0,1.0
11,16,0,1,0.8945381522437088
11,16,2,3,0.4514331210191082
11,17,3,1,1.0
11,17,1,0,1.0
11,17,0,2,0.9409346219724476
11,17,2,3,0.486971535113939
11,18,3,1,1.0
11,18,1,0,1.0
11,18,0,3,0.9340282563650599
11,18,2,2,0.5545374724276234
11,19,3,3,1.0
11,19,2,1,1.0
11,19,1,0,1.0
11,19,0,2,-0.11083635175249884
11,20,1,1,0.9621823653617455
11,20,3,3,0.8890154286094301
11,20,0,2,0.8178551412652887
11,20,2,0,0.6646468471880326
11,21,3,2,1.0
11,21,0,3,1.0
11,21,1,1,1.0
11,21,2,0,0.6071737304795868
11,22,3,1,1.0
11,22,0,0,1.0
11,22,1,2,0.84527440150679
11,22,2,3,0.705286322688916
11,23,3,0,1.0
11,23,1,1,1.0
11,23,0,3,0.8874243478489189
11,23,2,2,0.486971535113939
11,24,3,3,1.0
11,24,1,0,1.0
11,24,0,1,0.9409346219724476
11,24,2,2,0.569594945819505
11,25,3,2,1.0
11,25,1,1,1.0
11,25,2,0,0.3048841612537533
12,13,2,0,1.0
12,13,0,1,1.0
12,13,1,2,1.0
12,13,3,3,0.38488576449912126
12,14,2,1,1.0
12,14,0,2,1.0
12,14,1,0,1.0
12,14,3,3,0.48866498740554154
12,15,3,2,1.0
12,15,2,0,1.0
12,15,1,3,1.0
12,15,0,1,0.3690192195664356
12,16,2,1,1.0
12,16,1,0,1.0
12,16,3,3,0.6904698044957992
12,16,0,2,0.6736185236883159
12,17,2,1,1.0
12,17,0,2,1.0
12,17,1,0,1.0
12,17,3,3,0.7158761998357588
12,18,2,1,1.0
12,18,0,3,1.0
12,18,1,0,1.0
12,18,3,2,0.7750196905409182
